id,nome,população
Comendador Gomes,Comendador Gomes,2773
Comercinho,Comercinho,6660
Conceição da Aparecida,Conceição da Aparecida,10371
Conceição da Barra de Minas,Conceição da Barra de Minas,3560
Conceição das Alagoas,Conceição das Alagoas,28381
Conceição das Pedras,Conceição das Pedras,2772
Conceição de Ipanema,Conceição de Ipanema,4409
Conceição do Mato Dentro,Conceição do Mato Dentro,17438
Conceição do Pará,Conceição do Pará,5415
Conceição do Rio Verde,Conceição do Rio Verde,12541
Conceição dos Ouros,Conceição dos Ouros,10880
Confins,Confins,79388
Congonhal,Congonhal,11083
Congonhas,Congonhas,52890
Congonhas do Norte,Congonhas do Norte,4831
Conquista,Conquista,6694
Conselheiro Lafaiete,Conselheiro Lafaiete,131621
Conselheiro Pena,Conselheiro Pena,20824
Consolação,Consolação,1563
Contagem,Contagem,538017
Coqueiral,Coqueiral,9023
Coração de Jesus,Coração de Jesus,25377
Cordisburgo,Cordisburgo,7547
Cordislândia,Cordislândia,3200
Corinto,Corinto,23532
Coroaci,Coroaci,10884
Coromandel,Coromandel,28894
Coronel Fabriciano,Coronel Fabriciano,39160
Coronel Murta,Coronel Murta,8200
Coronel Pacheco,Coronel Pacheco,2762
Coronel Xavier Chaves,Coronel Xavier Chaves,3486
Couto de Magalhães de Minas,Couto de Magalhães de Minas,4245
Cristais,Cristais,12197
Cristiano Otoni,Cristiano Otoni,4667
Cristina,Cristina,10374
Cristália,Cristália,5121
Crisólita,Crisólita,5265
Crucilândia,Crucilândia,5434
Cruzeiro da Fortaleza,Cruzeiro da Fortaleza,3521
Cruzília,Cruzília,15362
Cuparaque,Cuparaque,3983
Curral de Dentro,Curral de Dentro,7406
Curvelo,Curvelo,67512
Cássia,Cássia,17155
Córrego Danta,Córrego Danta,2960
Córrego Fundo,Córrego Fundo,6133
Córrego Novo,Córrego Novo,2875
Córrego do Bom Jesus,Córrego do Bom Jesus,4272
Cônego Marinho,Cônego Marinho,7237
Datas,Datas,5465
Delfim Moreira,Delfim Moreira,7952
Delfinópolis,Delfinópolis,6577
Delta,Delta,10494
Descoberto,Descoberto,4928
Desterro de Entre Rios,Desterro de Entre Rios,7653
Desterro do Melo,Desterro do Melo,2994
Diamantina,Diamantina,47702
Diogo de Vasconcelos,Diogo de Vasconcelos,3549
Dionísio,Dionísio,6847
Divino,Divino,20706
Divino das Laranjeiras,Divino das Laranjeiras,4178
Divinolândia de Minas,Divinolândia de Minas,6516
Divinésia,Divinésia,4226
Divinópolis,Divinópolis,8908
Divisa Alegre,Divisa Alegre,6321
Divisa Nova,Divisa Nova,5851
Divisópolis,Divisópolis,10213
Dom Bosco,Dom Bosco,4552
Dom Cavati,Dom Cavati,4904
Dom Joaquim,Dom Joaquim,4899
Dom Silvério,Dom Silvério,5228
Dom Viçoso,Dom Viçoso,3095
Dona Euzébia,Dona Euzébia,6093
Dores de Campos,Dores de Campos,10007
Dores de Guanhães,Dores de Guanhães,5029
Dores do Indaiá,Dores do Indaiá,12630
Dores do Turvo,Dores do Turvo,4987
Doresópolis,Doresópolis,1461
Douradoquara,Douradoquara,1829
Durandé,Durandé,7817
Elói Mendes,Elói Mendes,10314
Engenheiro Caldas,Engenheiro Caldas,13622
Engenheiro Navarro,Engenheiro Navarro,6354
Entre Folhas,Entre Folhas,5179
Entre Rios de Minas,Entre Rios de Minas,14746
Ervália,Ervália,20255
Esmeraldas,Esmeraldas,47090
Espera Feliz,Espera Feliz,24102
Espinosa,Espinosa,30443
Espírito Santo do Dourado,Espírito Santo do Dourado,6611
Estiva,Estiva,11502
Estrela Dalva,Estrela Dalva,2186
Estrela do Indaiá,Estrela do Indaiá,11804
Estrela do Sul,Estrela do Sul,6840
Eugenópolis,Eugenópolis,10801
Ewbank da Câmara,Ewbank da Câmara,3875
Extrema,Extrema,53482
Fama,Fama,2578
Faria Lemos,Faria Lemos,3188
Felisburgo,Felisburgo,6489
Felixlândia,Felixlândia,13978
Felício dos Santos,Felício dos Santos,5133
Fernandes Tourinho,Fernandes Tourinho,2789
Ferros,Ferros,9590
Fervedouro,Fervedouro,10445
Florestal,Florestal,8045
Formiga,Formiga,68248
Formoso,Formoso,7949
Fortaleza de Minas,Fortaleza de Minas,3477
Fortuna de Minas,Fortuna de Minas,3093
Francisco Badaró,Francisco Badaró,7366
Francisco Dumont,Francisco Dumont,4503
Francisco Sá,Francisco Sá,3700
Franciscópolis,Franciscópolis,5034
Frei Gaspar,Frei Gaspar,5640
Frei Inocêncio,Frei Inocêncio,8226
Frei Lagonegro,Frei Lagonegro,3391
Fronteira,Fronteira,129246
Fronteira dos Vales,Fronteira dos Vales,4345
Fruta de Leite,Fruta de Leite,4647
Frutal,Frutal,58588
Funilândia,Funilândia,4686
Galiléia,Galiléia,3411
Gameleiras,Gameleiras,4793
Glaucilândia,Glaucilândia,2928
Goiabeira,Goiabeira,2830
Goianá,Goianá,4053
Gonzaga,Gonzaga,5230
Gonçalves,Gonçalves,4123
Gouveia,Gouveia,11331
Governador Valadares,Governador Valadares,247131
Grupiara,Grupiara,1392
Grão Mogol,Grão Mogol,13901
Guanhães,Guanhães,32244
Guapé,Guapé,13772
Guaraciaba,Guaraciaba,9753
Guaraciama,Guaraciama,4899
Guarani,Guarani,8918
Guaranésia,Guaranésia,19150
Guarará,Guarará,3149
Guarda-Mor,Guarda-Mor,6539
Guaxupé,Guaxupé,50911
Guidoval,Guidoval,7131
Guimarânia,Guimarânia,8478
Guiricema,Guiricema,7778
Gurinhatã,Gurinhatã,5192
Heliodora,Heliodora,6134
Iapu,Iapu,12030
Ibertioga,Ibertioga,5198
Ibiaí,Ibiaí,6286
Ibiracatu,Ibiracatu,5081
Ibiraci,Ibiraci,10948
Ibirité,Ibirité,133044
Ibitiúra de Minas,Ibitiúra de Minas,3365
Ibituruna,Ibituruna,2698
Ibiá,Ibiá,22229
Icaraí de Minas,Icaraí de Minas,10677
Igarapé,Igarapé,45847
Igaratinga,Igaratinga,10830
Iguatama,Iguatama,6826
Ijaci,Ijaci,7003
Ilicínea,Ilicínea,12741
Imbé de Minas,Imbé de Minas,6986
Inconfidentes,Inconfidentes,7301
Indaiabira,Indaiabira,6346
Indianópolis,Indianópolis,6171
Ingaí,Ingaí,2580
Inhapim,Inhapim,22692
Inhaúma,Inhaúma,6239
