id,nome,população
São Joaquim de Bicas,São Joaquim de Bicas,34348
São José da Barra,São José da Barra,7793
São José da Lapa,São José da Lapa,15000
São José da Safira,São José da Safira,3806
São José da Varginha,São José da Varginha,4536
São José do Alegre,São José do Alegre,4133
São José do Divino,São José do Divino,3464
São José do Goiabal,São José do Goiabal,5396
São José do Jacuri,São José do Jacuri,6197
São José do Mantimento,São José do Mantimento,2753
São João Batista do Glória,São João Batista do Glória,7652
São João Evangelista,São João Evangelista,15315
São João Nepomuceno,São João Nepomuceno,7883
São João da Lagoa,São João da Lagoa,7744
São João da Mata,São João da Mata,2914
São João da Ponte,São João da Ponte,23930
São João das Missões,São João das Missões,13024
São João del Rei,São João del Rei,81579
São João do Manhuaçu,São João do Manhuaçu,11246
São João do Manteninha,São João do Manteninha,5331
São João do Oriente,São João do Oriente,7070
São João do Pacuí,São João do Pacuí,3664
São João do Paraíso,São João do Paraíso,23910
São Lourenço,São Lourenço,137418
São Miguel do Anta,São Miguel do Anta,6334
São Pedro da União,São Pedro da União,4885
São Pedro do Suaçuí,São Pedro do Suaçuí,5103
São Pedro dos Ferros,São Pedro dos Ferros,12255
São Romão,São Romão,10315
São Roque de Minas,São Roque de Minas,7129
São Sebastião da Bela Vista,São Sebastião da Bela Vista,14709
São Sebastião da Vargem Alegre,São Sebastião da Vargem Alegre,3113
São Sebastião do Anta,São Sebastião do Anta,6194
São Sebastião do Maranhão,São Sebastião do Maranhão,10079
São Sebastião do Oeste,São Sebastião do Oeste,8815
São Sebastião do Paraíso,São Sebastião do Paraíso,71796
São Sebastião do Rio Preto,São Sebastião do Rio Preto,1259
São Sebastião do Rio Verde,São Sebastião do Rio Verde,2300
São Tiago,São Tiago,10245
São Tomás de Aquino,São Tomás de Aquino,6740
São Tomé das Letras,São Tomé das Letras,6904
São Vicente de Minas,São Vicente de Minas,6804
Tabuleiro,Tabuleiro,4014
Taiobeiras,Taiobeiras,33050
Taparuba,Taparuba,3387
Tapira,Tapira,4118
Tapiraí,Tapiraí,1690
Taquaraçu de Minas,Taquaraçu de Minas,4224
Tarumirim,Tarumirim,11192
Teixeiras,Teixeiras,10960
Teófilo Otoni,Teófilo Otoni,10561
Timóteo,Timóteo,4476
Tiradentes,Tiradentes,4448
Tiros,Tiros,4060
Tocantins,Tocantins,3972
Tocos do Moji,Tocos do Moji,90225
Toledo,Toledo,26090
Tombos,Tombos,24490
Três Corações,Três Corações,24135
Três Marias,Três Marias,19799
Três Pontas,Três Pontas,46789
Tumiritinga,Tumiritinga,46421
Tupaciguara,Tupaciguara,46284
Turmalina,Turmalina,7521
Turvolândia,Turvolândia,7231
Ubaporanga,Ubaporanga,7073
Ubaí,Ubaí,7047
Uberaba,Uberaba,10867
Uberlândia,Uberlândia,10857
Ubá,Ubá,10552
Umburatiba,Umburatiba,10485
Unaí,Unaí,137877
União de Minas,União de Minas,137125
Uruana de Minas,Uruana de Minas,129380
Urucuia,Urucuia,126269
Urucânia,Urucânia,14905
Vargem Alegre,Vargem Alegre,13645
Vargem Bonita,Vargem Bonita,12739
Vargem Grande do Rio Pardo,Vargem Grande do Rio Pardo,12641
Varginha,Varginha,16900
Varjão de Minas,Varjão de Minas,16846
Varzelândia,Varzelândia,16390
Vazante,Vazante,15959
Verdelândia,Verdelândia,56640
Veredinha,Veredinha,55606
Vermelho Novo,Vermelho Novo,53368
Veríssimo,Veríssimo,12313
Vespasiano,Vespasiano,12212
Vieiras,Vieiras,10433
Virgem da Lapa,Virgem da Lapa,10315
Virginópolis,Virginópolis,2233
Virgolândia,Virgolândia,94539
Virgínia,Virgínia,94023
Visconde do Rio Branco,Visconde do Rio Branco,93862
Viçosa,Viçosa,84718
Volta Grande,Volta Grande,9067
Várzea da Palma,Várzea da Palma,8955
Wenceslau Braz,Wenceslau Braz,8910
Água Boa,Água Boa,8255
Água Comprida,Água Comprida,417478
Águas Formosas,Águas Formosas,414240
Águas Vermelhas,Águas Vermelhas,361915
